Section,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,Preprocessing,,,,,,,,,,,,,,,
128,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,670,,Relative Intensity: Exciting Hg Line: Polarization:,,,v7,,,a',,,,,,,v7 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,840,,Relative Intensity: Exciting Hg Line: Polarization:,,,v6,,,a',,,,,,,v6 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1053,,Relative Intensity: Exciting Hg Line: Polarization:,,,v14,,,a'',,,,,,,v14 fundamental (a''),,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1098,,Relative Intensity: Exciting Hg Line: Polarization:,,,v5,,,a',,,,,,,v5 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,626,,Relative Intensity: Exciting Hg Line: Polarization:,,,v8,,,a',,,,,,,v8 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1210,,Relative Intensity: Exciting Hg Line: Polarization:,,,v4,,,a',,,,,,,v4 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1252,,Relative Intensity: Exciting Hg Line: Polarization:,,,v13,,,a'',,,,,,,v13 fundamental (a''),,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1286,,Relative Intensity: Exciting Hg Line: Polarization:,,,v3,,,a',,,,,,,v3 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1210,,Relative Intensity: Exciting Hg Line: Polarization:,,,v4,,,a',,,,,,,v4 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,1421,,Relative Intensity: Exciting Hg Line: Polarization:,,,v2,,,a',,,,,,,v2 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"The Infrared and Raman Spectra of CF3CH2I,* CF3CH2Br, and CF3CH2F",Scientific Paper,,,,Journal of Molecular Spectroscopy,11,92,Walter F. Edgell,,xx-xx-1963,,,,"A. PREPARATION OF COMPOUNDS As a starting material for both CP3CH2F and CF3CH2I, CF3CH2OH was  obtained by the method of Henne and co-workers (1). The alcohol was converted to the ester of p-toluenesulfonic acid by treatment with the acid chloride and pyridine and then hydrolyzed with cold H2SO4 . The ester was converted into the desired halide by treatment with the appropriate alkali halide in beta, beta-primedihydroxyethyl ether (2). Samples were purified by distillation. The sample of CF3CH2Br was supplied by Dr. J. S. Lan of E. I. du I’ont de Nemours and Company.  B. INSTRAMENTATION The infrared spectra were obtained with a Perkin-Elmer Model 21 double  beam recording spectrophotometer over the range of 2 to 24 microns, using  interchangeable CaF2 , NaCl, and KBr optics. For gas spectra, 10-cm Pyrex  cells with NaCl or KBr windows were used. Sealed cells of thickness 0.025 to 0.1mm aud capillary films between KBr plates were used to obtain the spectrum of liquid CF3CH2I. Gaseous CF3CH2I was also observed from 25 to 34 microns in a 10-cm cell with KRS-5 windows using a spectrometer built around a Perkin-Elmer Model 99 double-pass monochromator with a CsBr prism. The Raman equipment used was an Applied Research Laboratories spectrograph with a Schmidt-type camera of about f/2.5 aperture and a dispersion of 15A mm near 4358A. Eastman Kodak XXX panchromatic and DuPont High Speed panchromatic No. 428 sheet films were used and were developed for 7 min in Eastman Kodak DK-60a. Exposure times varied from 1 to 72 hours depending on the caompounds studied. Polarization measurements were made by placing cylinders of “Polaroid” sheet with the polarization parallel and perpendicular in turn around the sample tube during the longer exposures. The exciting source was a Toronto-type mercury arc. The CF3CH2Br sample, bp 26.4C, was cooled by circulating air through an ice salt bath and then through a glass cryostat surrounding the sample tube. Since CF3CH2F boils at -24.7C, it was necessary to circulatr air cooled by passing through a dry ice-trichloroethylene bath. CF3C H2I samples, bp about 55C, were kept sufficiently cool by circulating a solution of Rhodamine 5 GDN extra which acted as a filter to reduce background near the 4358A exciting line.",,5,Table I,The Raman Spectrum of CF3CH2I Liquid (From densitometer tracing of 45 hours exposure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cm^-1,,,289,,Relative Intensity: Exciting Hg Line: Polarization:,,,v10,,,a',,,,,,,v10 fundamental (a'),,,,,,,,,,,,,,,,,,,,,,,,,,,
